"id";"prop";"gender";"chamber"
bastiengirod;GPS;M;NR
bglaettli;GPS;M;NR
cedricwermuth;SPS;M;NR
lukasreimann;SVP;M;NR
FelixGutzwiller;FDP;M;SR
hhiltpold;FDP;M;NR
ChristianLevrat;SPS;M;SR
SchmidFederer;CVP-EVP;W;NR
JayBadran;SPS;W;NR
MarcoRomanoPPD;CVP-EVP;M;NR
cwasi;FDP;M;NR
SVPBrunner;SVP;M;NR
beaheim;SPS;W;NR
Violapamherd;CVP-EVP;W;NR
zanettiroberto;SPS;M;SR
KathyRiklin;CVP-EVP;W;NR
YvonneGilli;GPS;W;NR
HPPortmann;FDP;M;NR
BernhardGuhl;BDP;M;NR
ahodgers;X;X;X
beatflach;GLP;M;NR
NeirynckJ;CVP-EVP;M;NR
I_Chevalley;GLP;W;NR
IsabelleMoret;FDP;W;NR
CarloSommaruga;SPS;M;NR
BARTHASSAT;X;X;X
Schilliger;FDP;M;NR
jacquelinefehr;SPS;W;NR
NatalieRickli;SVP;W;NR
PirminBischof;CVP-EVP;M;SR
steiertjf;SPS;M;NR
B_Haeberli;CVP-EVP;W;SR
C_Darbellay;CVP-EVP;M;NR
eviallemann;SPS;W;NR
GTheiler;FDP;M;SR
ChristaMarkwald;FDP;W;NR
yferi;SPS;W;NR
PascaleBruderer;SPS;W;SR
jcschwaab;SPS;M;NR
fteuscher;X;X;X
EdithGraf;SPS;W;NR
PolitNews2;X;X;X
Elisabeth_S_S;CVP-EVP;W;NR
alinetrede;GPS;W;NR
ignaziocassis;FDP;M;NR
ybuttet;CVP-EVP;M;NR
berberatdidier;SPS;M;SR
thegreenpreside;GPS;M;NR
BarazzoneG;CVP-EVP;M;NR
M_Aebischer;SPS;M;NR
GrinJean;SVP;M;NR
SchenkerSilvia;SPS;W;NR
RuediNoser;FDP;M;NR
F_Leutenegger;X;X;X
JR_Fournier;CVP-EVP;M;SR
LorenzQuadri;SVP;M;NR
Ch_Lohr;CVP-EVP;M;NR
SusanneSlo;SPS;W;NR
RobiPanta;SVP;W;NR
LuziStamm;SVP;M;NR
AmarelleCesla;X;X;X
PetraGoessi;FDP;W;NR
votrevoix;SPS;W;SR
thomasdecourten;SVP;M;NR
MathiasReynard;SPS;M;NR
AndreaCaroniAR;FDP;M;NR
idamicha;CVP-EVP;W;NR
MullerAltermatt;CVP-EVP;M;NR
Juerg_Grossen;GLP;M;NR
PierreRusconi;SVP;M;NR
fun31;SPS;M;NR
ManuelTornare;SPS;M;NR
ChrMoergeli;SVP;M;NR
CeslaAmarelle;SPS;W;NR
PaulRechsteiner;SPS;M;SR
UGiezendanner;SVP;M;NR
RolandFischerNR;GLP;M;NR
ada_marra;SPS;W;NR
GraberKonrad;CVP-EVP;M;SR
fderder;FDP;M;NR
Valerie_Piller;SPS;W;NR
DdeBuman;CVP-EVP;M;NR
LandoltMartin;BDP;M;NR
NordmannRoger;SPS;M;NR
MartinaMunz;SPS;W;NR
lombardi1956;CVP-EVP;M;SR
MaireJack;SPS;M;NR
MarinaCarobbio;SPS;W;NR
d_stolz;FDP;M;NR
reb_ruiz;SPS;W;NR
fregazzi;CVP-EVP;M;NR
Yvette67Yvette;SVP;W;NR
enussbi;SPS;M;NR
HurterThomas;SVP;M;NR
tschmperlin;SPS;M;NR
ClaudeJaniak;SPS;M;SR
nmasshardt;SPS;W;NR
OskarFreysinger;SVP;M;NR
DanielVischerNR;GPS;M;NR
verenaherzog;SVP;W;NR
BulliardMarbach;CVP-EVP;W;NR
RegulaRytz;GPS;W;NR
LorenzHess;BDP;M;NR
JP_Graber;SVP;M;NR
jfrime;SVP;M;NR
SteRossini63;SPS;M;NR
MarianneStreiff;CVP-EVP;W;NR
MajaIngold;CVP-EVP;W;NR
AdrianAmstutz;SVP;M;NR
Werner_Hoesli;SVP;M;SR
CandinasMartin;CVP-EVP;M;NR
AlfredHeer;SVP;M;NR
RobertCramer_GE;GPS;M;SR
BaGysi;SPS;W;NR
ChantalGallade;SPS;W;NR
claufriedl;SPS;W;NR
MarkusHutter;X;X;X
mariabernascon2;SPS;W;NR
RuthHumbel;CVP-EVP;W;NR
adelethorens;GPS;W;NR
uschneiderschue;SPS;W;NR
kathrinbertschy;GLP;W;NR
th_hardegger;SPS;W;NR
maximilian_rei;SVP;M;NR
DorisFiala;FDP;W;NR
engler_stefan;CVP-EVP;M;SR
gerhardpfister;CVP-EVP;M;NR
